CSDUID,pop2016,instability_CSDUID,deprivation_CSDUID,dependency_CSDUID,ethniccon_CSDUID,instability_q_CSDUID,deprivation_q_CSDUID,dependency_q_CSDUID,ethniccon_q_CSDUID
3549003,4304,-0.402391048,-0.347217427,0.84573066,-1.01749349,2,2,4,2
3549005,531,-0.069962878,-0.960626153,1.783999552,-1.24311521,4,1,5,1
3549012,824,-0.07359256,0.418444948,1.240691221,-1.130884062,4,4,5,1
3549014,2454,-0.184404712,0.226331823,0.53996164,-1.058495591,4,4,3,2
3549018,882,-0.172256542,0.396702186,1.252737435,-1.198063112,4,4,5,1
3549019,1414,-0.36107417,0.247192212,1.269455383,-0.913040904,3,4,5,2
3549022,981,0.608624326,2.332112831,0.717691863,-0.900584874,5,5,4,3
3549024,648,-0.365271858,0.19768038,1.385414314,-1.110402834,3,4,5,1
3549028,1111,-0.403534603,-0.410710879,1.963417401,-1.204937313,2,2,5,1
3549031,2702,-0.604863912,-0.362071443,0.520976956,-0.879045687,1,2,3,3
3549032,6408,0.800319191,0.620662782,0.734396857,-0.842524715,5,5,4,3
3549036,1125,-0.400024026,-0.195464664,1.149724456,-1.453443373,3,2,5,1
3549039,916,-0.253981641,0.170619719,2.062100792,-1.201428794,3,4,5,1
3549043,1390,-0.183779714,0.509493286,1.581904538,-1.250619241,4,5,5,1
3549046,1439,-0.34304475,0.418336263,1.028112613,-0.843362271,3,4,4,3
3549048,961,0.094835101,0.676551884,1.742426633,-1.154386776,5,5,5,1
3549051,304,-0.228614564,0.67512147,1.046613318,-0.545435774,3,5,5,5
3549054,882,-0.575502821,0.509529723,1.930855608,-1.107453598,2,5,5,1
3549056,1114,0.012377829,2.239998006,0.723029705,-1.04812995,5,5,4,2
3549060,3455,-0.340531583,-0.059064564,0.82467085,-0.80094529,3,3,4,4
3549066,3863,-0.445760418,-0.690020522,0.248786338,-0.894357855,2,1,3,3
3549071,1707,-0.427539579,-0.060092652,0.880216864,-0.881527621,2,3,4,3
3549072,195,,,,,,,,
3549073,317,,,,,,,,
3549075,5,,,,,,,,
3549076,117,,,,,,,,
3549077,344,,,,,,,,
3549078,101,,,,,,,,
3549095,187,,,,,,,,
3549096,2143,-0.148394864,0.776340015,2.540292198,-1.272661461,4,5,5,1
3551001,436,-0.159149837,0.877559175,1.995801814,-0.953582141,4,5,5,2
3551006,2084,-0.120633565,0.019127935,1.492026139,-1.257553887,4,3,5,1
3551011,1013,-0.389171284,-0.100907721,0.904507605,-0.86557263,3,3,4,3
3551017,2712,-0.208639711,0.245991441,1.404028372,-1.03759793,4,4,5,2
3551021,603,-0.080593688,-0.104331414,1.589531132,-1.131024382,4,3,5,1
3551026,867,0.401434438,0.209232024,1.260548778,-0.964526856,5,4,5,2
3551027,490,-0.239992508,0.070260831,1.78877849,-1.218427027,3,3,5,1
3551028,343,-0.286050626,1.146777506,1.189516005,-1.182706268,3,5,5,1
3551034,0,,,,,,,,
3551040,456,,,,,,,,
3551041,372,,,,,,,,
3551042,134,,,,,,,,
3551043,2500,,,,,,,,
3551044,137,,,,,,,,
3551045,884,,,,,,,,
3551094,169,,,,,,,,
3551100,55,,,,,,,,
