"CSDUID","Deprivation","EthnicCon","Name","under20","20s","30s","40s","50s","60s","70s","over80","DeprivationModifier","EthnicModifier"
3546015,4,1,"Minden Hills (TP)",0.000283492561655463,0.000258486010509871,0.000273507692036221,0.000316321349193797,0.000544638257157577,0.000839404497941083,0.0009356368858523,0.000777887696691441,0.0509556829395033,0.132321125759746
3546018,3,1,"Algonquin Highlands (TP)",8.33801651927833e-05,8.8055673909956e-05,9.11692306787402e-05,0.000113764695762681,0.00023306592085572,0.000348432055749129,0.000435179946908046,0.000295935536784787,0.0134241486659534,0.132321125759746
3546024,3,1,"Dysart et al (MU)",0.000298500991390164,0.000281210055389859,0.0002705667491111,0.000302447605808104,0.000549544908122961,0.000880582831802344,0.000973715131206754,0.00082016420194641,0.0134241486659534,0.132321125759746
3547002,3,4,"Arnprior (T)",0.000580325949741772,0.000534015054679733,0.000573483870398527,0.000518878002624912,0.00064522460194794,0.00087741526765917,0.000902998389834196,0.00114146564188418,0.0134241486659534,0.397478022900578
3547003,1,2,"McNab/Braeside (TP)",0.000491942974637421,0.000406192302229797,0.000408791066591771,0.000527202248656328,0.000682024484188317,0.000738042445359519,0.000603812176334914,0.000414309751498702,0.00147013027569939,0.169346756980225
3547008,2,1,"Greater Madawaska (TP)",0.000110061818054474,9.37366851299531e-05,0.000102933002379223,0.000147061679888344,0.000230612595373028,0.000408615774469433,0.000369902954871839,0.000219837827325842,0.00546212244529098,0.132321125759746
3547020,5,2,"Brudenell, Lyndoch and Raglan (TP)",9.83885949274843e-05,5.3969606589973e-05,7.6464516053137e-05,8.60172089912956e-05,0.00013738622703074,0.000193221412733608,0.000179511728099569,0.000135284816815903,0.928687915673553,0.169346756980225
3547030,5,1,"Madawaska Valley (TP)",0.000233464462539793,0.000164749325379918,0.00017939751843236,0.00021365564813967,0.000363092171438385,0.000516312955337346,0.00056573393098046,0.000583415772518581,0.928687915673553,0.132321125759746
3547033,4,2,"Killaloe, Hagarty and Richards (TP)",0.000180101156816412,9.65771907399517e-05,0.000114696774079705,0.000160935423274037,0.000183999411201884,0.000291415901171999,0.00028286696549023,0.00019447192417286,0.0509556829395033,0.169346756980225
3547035,4,2,"Bonnechere Valley (TP)",0.000231796859235938,0.000164749325379918,0.000185279404282601,0.00021365564813967,0.000316478987267241,0.000433956287614824,0.000451499194917098,0.000405854450447708,0.0509556829395033,0.169346756980225
3547043,2,3,"Admaston/Bromley (TP)",0.000261813718705339,0.000156227808549922,0.000176456575507239,0.000216430396816808,0.000230612595373028,0.000262907823883434,0.000244788720135776,0.000126829515764909,0.00546212244529098,0.242733923355498
3547046,2,2,"Horton (TP)",0.00020011239646268,0.000150546797329925,0.000173515632582118,0.000216430396816808,0.000247785873751871,0.000313588850174216,0.000261107968144828,0.000152195418917891,0.00546212244529098,0.169346756980225
3547048,5,3,"Renfrew (T)",0.000496945784548988,0.000443118875159778,0.000455846153393701,0.000466157777759279,0.000657491229361399,0.000845739626227431,0.000930197136515949,0.00135284816815903,0.928687915673553,0.242733923355498
3547056,3,2,"Whitewater Region (TP)",0.000530297850626102,0.000372106234909814,0.000464668982169063,0.000410662804216508,0.000593704766811413,0.000649350649350649,0.000679968667043823,0.00062569227777355,0.0134241486659534,0.169346756980225
3547064,5,3,"Pembroke (CY)",0.000882162147739647,0.000994176963499503,0.000926397021413005,0.000754731640181691,0.0010451166556267,0.00113082039911308,0.0014415335741329,0.00224065477851339,0.928687915673553,0.242733923355498
3547070,3,2,"North Algona Wilberforce (TP)",0.000180101156816412,0.00013918477488993,0.000164692803806757,0.000185908161368284,0.000277225779544172,0.000348432055749129,0.000320945210844684,0.000186016623121866,0.0134241486659534,0.169346756980225
3547075,2,2,"Laurentian Valley (TP)",0.000685384957884679,0.000556739099559722,0.000617598014275337,0.000688137671930365,0.00080959740928829,0.000829901805511562,0.000832281648461639,0.000558049869365599,0.00546212244529098,0.169346756980225
3547076,1,5,"Petawawa (T)",0.00156754710562433,0.00202528049992899,0.00187632158622698,0.00111822371688684,0.000858663918942126,0.000687361419068736,0.00065276992036207,0.000465041557804666,0.00147013027569939,0.0581201710039534
3547090,2,2,"Laurentian Hills (T)",0.000218456032805092,0.000204516403919898,0.000249980148635255,0.00017480916665973,0.000247785873751871,0.000250237567310738,0.000244788720135776,0.000160650719968884,0.00546212244529098,0.169346756980225
3547096,1,4,"Deep River (T)",0.000280157355047752,0.000227240448799886,0.000285271463736703,0.000235853637556778,0.000316478987267241,0.000380107697180868,0.000456938944253449,0.000498862762008641,0.00147013027569939,0.397478022900578
3548001,5,1,"South Algonquin (TP)",4.33576859002473e-05,4.82885953699759e-05,4.41141438768098e-05,6.93687169284642e-05,0.000120212948651898,0.000148875514729173,0.000157752730754167,0.000109918913662921,0.928687915673553,0.132321125759746
3548013,5,2,"Papineau-Cameron (TP)",6.67041321542266e-05,4.54480897599773e-05,5.58779155772924e-05,6.93687169284642e-05,0.000100586344790363,0.000126702565726956,8.15962400452587e-05,5.91871073569574e-05,0.928687915673553,0.169346756980225
3548021,5,4,"Mattawa (T)",0.000123402644485319,0.000105098707569947,0.000105873945304343,0.000108215198408404,0.00019135938764996,0.000196388976876782,0.000217589973454023,0.000279024934682799,0.928687915673553,0.397478022900578
3548022,5,2,"Calvin (MU)",4.16900825963916e-05,2.84050560999858e-05,3.23503721763272e-05,3.05222354485242e-05,5.15198351365276e-05,3.80107697180868e-05,5.43974933635058e-05,4.22765052549696e-05,0.928687915673553,0.169346756980225
3548027,3,2,"Bonfield (TP)",0.000125070247789175,0.000110779718789945,0.00013528337455555,0.000127638439148374,0.000198719364098035,0.000221729490022173,0.000163192480090517,8.45530105099392e-05,0.0134241486659534,0.169346756980225
3548031,4,3,"Chisholm (TP)",0.000103391404839051,6.81721346399659e-05,9.11692306787402e-05,7.21434656056028e-05,0.000112852972203822,0.000136205258156478,0.000103355237390661,3.38212042039757e-05,0.0509556829395033,0.242733923355498
3548034,1,3,"East Ferris (MU)",0.000333520660771133,0.000221559437579889,0.000308799007137669,0.000332969841256628,0.000468585167194132,0.000475134621476085,0.000353583706862788,0.000355122644141745,0.00147013027569939,0.242733923355498
3548044,4,5,"North Bay (CY)",0.00354532462399715,0.00398522937082801,0.0035320724530699,0.00343513886229755,0.00399401388582223,0.00406081723154894,0.00471626267461595,0.00480261099696455,0.0509556829395033,0.0581201710039534
3548055,5,3,"West Nipissing (M)",0.000985553552578698,0.000693083368839653,0.000802877418557938,0.000962837790967083,0.00122911606682859,0.00143807412100095,0.00168632229426868,0.00128520575975108,0.928687915673553,0.242733923355498
3548069,5,1,"Temagami (MU)",3.5019669380969e-05,3.12455617099844e-05,2.94094292512065e-05,4.99454761884942e-05,9.07730428595962e-05,0.000104529616724739,0.000125114234736063,6.76424084079514e-05,0.928687915673553,0.132321125759746
3548094,5,1,"Nipissing, Unorganized, North Part (NO)",0.000108394214750618,7.95341570799602e-05,9.41101736038609e-05,0.000124863690471236,0.000188906062167268,0.000218561925878999,0.000157752730754167,8.45530105099392e-05,0.928687915673553,0.132321125759746
3549003,2,2,"Seguin (TP)",0.000245137685666783,0.000198835392699901,0.00022351166230917,0.000258051626973887,0.00039743872819607,0.000532150776053215,0.000576613429653162,0.000346667343090751,0.00546212244529098,0.169346756980225
3549005,1,1,"The Archipelago (TP)",1.83436363424123e-05,1.98835392699901e-05,1.47047146256033e-05,2.49727380942471e-05,6.13331370672947e-05,7.91891035793475e-05,9.79154880543105e-05,5.07318063059635e-05,0.00147013027569939,0.132321125759746
3549012,4,1,"McMurrich/Monteith (TP)",4.16900825963916e-05,4.26075841499787e-05,4.41141438768098e-05,4.71707275113557e-05,8.34130664115208e-05,0.000104529616724739,0.000108794986727012,5.91871073569574e-05,0.0509556829395033,0.132321125759746
3549014,4,2,"Perry (TP)",0.000145081487435443,0.000144865786109928,0.000158810917956515,0.000160935423274037,0.000213439316994186,0.000281913208742477,0.000255668218808477,0.000152195418917891,0.0509556829395033,0.169346756980225
3549018,4,1,"Kearney (T)",3.5019669380969e-05,4.26075841499787e-05,3.82322580265685e-05,4.99454761884942e-05,9.81330193076716e-05,0.000126702565726956,0.000119674485399713,7.60977094589453e-05,0.0509556829395033,0.132321125759746
3549019,4,2,"Armour (TP)",7.17069420657936e-05,5.68101121999716e-05,7.35235731280163e-05,7.76929629598799e-05,0.000142292877996124,0.000199556541019956,0.000174071978763219,0.000118374214713915,0.0509556829395033,0.169346756980225
